ticker,eps_basic_net,startDate,endDate
DL2,1.1959867142292877,2013-03-31,2013-06-29
JO1,1.412108089390507,2013-03-31,2013-06-29
JN2,4.274217771137716,2013-03-31,2013-06-29
NA2,1.3767299152853645,2013-03-31,2013-06-29
JN2,4.5894905593166815,2015-03-31,2015-06-29
JO1,2.1454127382952093,2015-03-31,2015-06-29
NA2,1.6318602253966816,2015-03-31,2015-06-29
DL2,1.3583753004902115,2015-03-31,2015-06-29
DL2,1.3575535338947995,2012-09-30,2012-12-30
JN2,3.259439304968899,2012-09-30,2012-12-30
JO1,1.1453841948653192,2012-09-30,2012-12-30
NA2,1.4323081013834253,2012-09-30,2012-12-30
JO1,1.1986107332532243,2014-09-30,2014-12-30
NA2,1.9488246282255242,2014-09-30,2014-12-30
JN2,5.121785404443826,2014-09-30,2014-12-30
DL2,1.6461494119748101,2014-09-30,2014-12-30
NA2,1.8604108701977486,2011-12-31,2012-03-30
DL2,1.0821258591062133,2011-12-31,2012-03-30
JN2,1.8170064656431817,2011-12-31,2012-03-30
JO1,2.0318659434768938,2011-12-31,2012-03-30
DL2,0.5674493082608094,2012-12-31,2013-03-30
JN2,5.740112834021381,2012-12-31,2013-03-30
JO1,1.8063590368748572,2012-12-31,2013-03-30
DL2,1.1253347940160063,2016-09-30,2016-12-30
JN2,5.275225765505117,2016-09-30,2016-12-30
JO1,1.795687142473454,2016-09-30,2016-12-30
NA2,4.0062018215864414,2016-09-30,2016-12-30
JN2,3.744462369755053,2013-06-30,2013-09-29
JO1,0.9487637325522074,2013-06-30,2013-09-29
NA2,1.3440627463201709,2013-06-30,2013-09-29
DL2,1.167414998912309,2013-06-30,2013-09-29
JN2,4.200570364930967,2014-12-31,2015-03-30
JO1,3.0627120823962373,2014-12-31,2015-03-30
DL2,1.3486521741187931,2014-12-31,2015-03-30
NA2,2.1093102242977158,2014-12-31,2015-03-30
JO1,2.420653413876945,2013-12-31,2014-03-30
JN2,5.1558442385391094,2013-12-31,2014-03-30
NA2,1.5076940827222964,2013-12-31,2014-03-30
DL2,1.2560991293734585,2013-12-31,2014-03-30
JN2,2.07380295330277,2015-06-30,2015-09-29
DL2,1.3655664212911056,2015-06-30,2015-09-29
NA2,1.387885907744997,2015-06-30,2015-09-29
JO1,1.4835611611520476,2015-06-30,2015-09-29
DL2,0.8932585506766265,2012-03-31,2012-06-29
JN2,3.991683932802207,2012-03-31,2012-06-29
JO1,1.897761342739449,2012-03-31,2012-06-29
NA2,1.2895420365058052,2012-03-31,2012-06-29
DL2,1.313227526732446,2013-09-30,2013-12-30
JO1,1.182046394431018,2013-09-30,2013-12-30
JN2,3.090629635729451,2013-09-30,2013-12-30
NA2,1.5963858738941363,2013-09-30,2013-12-30
DL2,1.3505058665586724,2015-09-30,2015-12-30
NA2,3.17846781700595,2015-09-30,2015-12-30
JO1,2.2514097017584698,2015-09-30,2015-12-30
NA2,1.3265992526474706,2012-06-30,2012-09-29
DL2,1.0845460128781004,2012-06-30,2012-09-29
JN2,2.143695356989165,2012-06-30,2012-09-29
JO1,1.5101270034448928,2012-06-30,2012-09-29
JN2,1.2231272277441594,2015-12-31,2016-03-30
JO1,3.4635242221920897,2015-12-31,2016-03-30
DL2,0.8702230412710465,2015-12-31,2016-03-30
NA2,1.5716747626356098,2015-12-31,2016-03-30
JN2,4.411562083613601,2014-03-31,2014-06-29
NA2,1.1952466973402534,2014-03-31,2014-06-29
DL2,1.379024650227483,2014-03-31,2014-06-29
JO1,2.047128265121468,2014-03-31,2014-06-29
DL2,1.2914377813428748,2014-06-30,2014-09-29
JN2,3.897751189150016,2014-06-30,2014-09-29
JO1,1.138611093621101,2014-06-30,2014-09-29
NA2,2.62117133849237,2014-06-30,2014-09-29
NA2,1.7285649710318798,2016-03-31,2016-06-29
DL2,1.5095298762797973,2016-03-31,2016-06-29
JN2,2.9304267445165992,2016-03-31,2016-06-29
JO1,1.7112723300862038,2016-03-31,2016-06-29
NA2,-0.3531109685854729,2016-06-30,2016-09-29
DL2,2.1028025885706647,2016-06-30,2016-09-29
JN2,3.8156941462005474,2016-06-30,2016-09-29
JO1,1.717031932970414,2016-06-30,2016-09-29
